X (m),Y (m),Z (m),Temperature (K)
-6.5625,-0.828125,0,273.9849535
-6.546875,-0.828125,0,273.9780088
-6.53125,-0.828125,0,273.9731813
-6.515625,-0.828125,0,273.9662569
-6.5,-0.828125,0,273.9662569
-6.65625,-0.8125,0,274.0164096
-6.640625,-0.8125,0,274.0071624
-6.625,-0.8125,0,274.0071624
-6.609375,-0.8125,0,274.0014522
-6.59375,-0.8125,0,273.9965396
-6.578125,-0.8125,0,273.9898879
-6.5625,-0.8125,0,273.9898879
-6.546875,-0.8125,0,273.9785264
-6.53125,-0.8125,0,273.9785264
-6.515625,-0.8125,0,273.971361
-6.5,-0.8125,0,273.9666145
-6.65625,-0.796875,0,274.0164096
-6.640625,-0.796875,0,274.0122843
-6.625,-0.796875,0,274.0141692
-6.609375,-0.796875,0,274.0025852
-6.59375,-0.796875,0,274.0025852
-6.578125,-0.796875,0,273.9955427
-6.5625,-0.796875,0,273.9906184
-6.546875,-0.796875,0,273.9833857
-6.53125,-0.796875,0,273.9833857
-6.515625,-0.796875,0,273.971361
-6.5,-0.796875,0,273.9718069
-6.625,-0.78125,0,274.0141692
-6.609375,-0.78125,0,274.0075223
-6.59375,-0.78125,0,274.0075223
-6.578125,-0.78125,0,273.9955427
-6.5625,-0.78125,0,273.9961253
-6.546875,-0.78125,0,273.9887524
-6.53125,-0.78125,0,273.9838359
-6.515625,-0.78125,0,273.9768177
-6.5,-0.78125,0,273.9768177
-6.546875,-0.765625,0,273.9887524
-6.53125,-0.765625,0,273.9891029
-6.515625,-0.765625,0,273.9891029
-6.5,-0.765625,0,273.9771623
-6.53125,-0.75,0,273.9938823
-6.515625,-0.75,0,273.9891029
-6.5,-0.75,0,273.9819722
-6.53125,-0.734375,0,273.9941195
-6.515625,-0.734375,0,273.9941195
-6.5,-0.734375,0,273.9870134
-6.5,-0.71875,0,273.9873042
-8.5,-1,0,273.9065398
-8.484375,-1,0,273.9095441
-8.46875,-1,0,273.9054954
-8.453125,-1,0,273.9082775
-8.4375,-1,0,273.9184178
-8.421875,-1,0,273.9184178
-8.40625,-1,0,273.9206745
-8.390625,-1,0,273.9307893
-8.375,-1,0,273.9313152
-8.359375,-1,0,273.9376727
-8.34375,-1,0,273.9376727
-8.328125,-1,0,273.9488105
-8.3125,-1,0,273.9488105
-8.296875,-1,0,273.9541909
-8.28125,-1,0,273.9541909
-8.265625,-1,0,273.9665775
-8.25,-1,0,273.9636327
-8.234375,-1,0,273.967753
-8.21875,-1,0,273.9758255
-8.203125,-1,0,273.9802392
-8.1875,-1,0,273.9802392
-8.171875,-1,0,273.9769473
-8.15625,-1,0,273.9887251
-8.140625,-1,0,273.9929949
-8.125,-1,0,273.9929949
-8.109375,-1,0,273.9956117
-8.09375,-1,0,274.0037721
-8.078125,-1,0,274.0078006
-8.0625,-1,0,274.0078006
-8.046875,-1,0,274.0132907
-8.03125,-1,0,274.0132907
-8.015625,-1,0,274.0209394
-8,-1,0,274.0249925
-7.984375,-1,0,274.0229688
-7.96875,-1,0,274.0276589
-7.953125,-1,0,274.0302476
-7.9375,-1,0,274.0302476
-7.921875,-1,0,274.0403939
-7.90625,-1,0,274.0442031
-7.890625,-1,0,274.0402164
-7.875,-1,0,274.0439966
-7.859375,-1,0,274.0507741
-7.84375,-1,0,274.0507741
-7.828125,-1,0,274.0530688
-7.8125,-1,0,274.0583458
-7.796875,-1,0,274.0627042
-7.78125,-1,0,274.0601204
-7.765625,-1,0,274.0622716
-7.75,-1,0,274.063883
-7.734375,-1,0,274.0715033
-7.71875,-1,0,274.0641792
-7.703125,-1,0,274.0701982
-7.6875,-1,0,274.0767403
-7.671875,-1,0,274.0763554
-7.65625,-1,0,274.0763554
-8.5,-0.984375,0,273.9065398
-8.484375,-0.984375,0,273.9065398
-8.46875,-0.984375,0,273.9095441
-8.453125,-0.984375,0,273.9198693
-8.4375,-0.984375,0,273.9227997
-8.421875,-0.984375,0,273.9227997
-8.40625,-0.984375,0,273.935809
-8.390625,-0.984375,0,273.935809
-8.375,-0.984375,0,273.935809
-8.359375,-0.984375,0,273.9480846
-8.34375,-0.984375,0,273.9449472
-8.328125,-0.984375,0,273.9449472
-8.3125,-0.984375,0,273.950853
-8.296875,-0.984375,0,273.9581509
-8.28125,-0.984375,0,273.9640822
-8.265625,-0.984375,0,273.9616111
-8.25,-0.984375,0,273.9665775
-8.234375,-0.984375,0,273.9745649
-8.21875,-0.984375,0,273.9789868
-8.203125,-0.984375,0,273.9789868
-8.1875,-0.984375,0,273.9872807
-8.171875,-0.984375,0,273.9872807
-8.15625,-0.984375,0,273.9918893
-8.140625,-0.984375,0,273.9985957
-8.125,-0.984375,0,274.0004259
-8.109375,-0.984375,0,274.0045889
-8.09375,-0.984375,0,274.0067181
-8.078125,-0.984375,0,274.0037721
-8.0625,-0.984375,0,274.0173866
-8.046875,-0.984375,0,274.0192526
-8.03125,-0.984375,0,274.0248857
-8.015625,-0.984375,0,274.0248857
-8,-0.984375,0,274.0330116
-7.984375,-0.984375,0,274.0330116
-7.96875,-0.984375,0,274.0360064
-7.953125,-0.984375,0,274.0379107
-7.9375,-0.984375,0,274.0430301
-7.921875,-0.984375,0,274.0403939
-7.90625,-0.984375,0,274.0442031
-7.890625,-0.984375,0,274.0557314
-7.875,-0.984375,0,274.0537516
-7.859375,-0.984375,0,274.0563593
-7.84375,-0.984375,0,274.0657852
-7.828125,-0.984375,0,274.0656261
-7.8125,-0.984375,0,274.0627042
-7.796875,-0.984375,0,274.0627042
-7.78125,-0.984375,0,274.0699396
-7.765625,-0.984375,0,274.0725147
-7.75,-0.984375,0,274.0767938
-7.734375,-0.984375,0,274.0715033
-7.71875,-0.984375,0,274.0794191
-7.703125,-0.984375,0,274.0813909
-7.6875,-0.984375,0,274.0767403
-7.671875,-0.984375,0,274.081013
-7.65625,-0.984375,0,274.081013
-8.5,-0.96875,0,273.9105404
-8.484375,-0.96875,0,273.9105404
-8.46875,-0.96875,0,273.9240527
-8.453125,-0.96875,0,273.9240527
-8.4375,-0.96875,0,273.9198693
-8.421875,-0.96875,0,273.9328495
-8.40625,-0.96875,0,273.9328495
-8.390625,-0.96875,0,273.935809
-8.375,-0.96875,0,273.9450039
-8.359375,-0.96875,0,273.9450039
-8.34375,-0.96875,0,273.9480846
-8.328125,-0.96875,0,273.9553664
-8.3125,-0.96875,0,273.9599485
-8.296875,-0.96875,0,273.9599485
-8.28125,-0.96875,0,273.9640822
-8.265625,-0.96875,0,273.9717578
-8.25,-0.96875,0,273.9773902
-8.234375,-0.96875,0,273.9773902
-8.21875,-0.96875,0,273.9877644
-8.203125,-0.96875,0,273.9877644
-8.1875,-0.96875,0,273.990987
-8.171875,-0.96875,0,273.9996183
-8.15625,-0.96875,0,274.0017309
-8.140625,-0.96875,0,273.9985957
-8.125,-0.96875,0,274.0045889
-8.109375,-0.96875,0,274.011547
-8.09375,-0.96875,0,274.014607
-8.078125,-0.96875,0,274.0191059
-8.0625,-0.96875,0,274.0209283
-8.046875,-0.96875,0,274.0209283
-8.03125,-0.96875,0,274.0312005
-8.015625,-0.96875,0,274.0312005
-8,-0.96875,0,274.0330116
-7.984375,-0.96875,0,274.0395686
-7.96875,-0.96875,0,274.0407897
-7.953125,-0.96875,0,274.0483012
-7.9375,-0.96875,0,274.0483012
-7.921875,-0.96875,0,274.0551513
-7.90625,-0.96875,0,274.0559848
-7.890625,-0.96875,0,274.0557314
-7.875,-0.96875,0,274.0581614
-7.859375,-0.96875,0,274.0581614
-7.84375,-0.96875,0,274.0657852
-7.828125,-0.96875,0,274.0656261
-7.8125,-0.96875,0,274.0726442
-7.796875,-0.96875,0,274.0699396
-7.78125,-0.96875,0,274.0750228
-7.765625,-0.96875,0,274.0750228
-7.75,-0.96875,0,274.0818066
-7.734375,-0.96875,0,274.0818066
-7.71875,-0.96875,0,274.0874353
-7.703125,-0.96875,0,274.0889327
-7.6875,-0.96875,0,274.0889327
-7.671875,-0.96875,0,274.092571
-7.65625,-0.96875,0,274.0885334
-8.5,-0.953125,0,273.907372
-8.484375,-0.953125,0,273.9209122
-8.46875,-0.953125,0,273.9209122
-8.453125,-0.953125,0,273.9240527
-8.4375,-0.953125,0,273.9346538
-8.421875,-0.953125,0,273.9346538
-8.40625,-0.953125,0,273.9375577
-8.390625,-0.953125,0,273.9469213
-8.375,-0.953125,0,273.9496093
-8.359375,-0.953125,0,273.9496093
-8.34375,-0.953125,0,273.9600921
-8.328125,-0.953125,0,273.9600921
-8.3125,-0.953125,0,273.9702779
-8.296875,-0.953125,0,273.9678321
-8.28125,-0.953125,0,273.9742656
-8.265625,-0.953125,0,273.9742656
-8.25,-0.953125,0,273.9742656
-8.234375,-0.953125,0,273.9855479
-8.21875,-0.953125,0,273.9855479
-8.203125,-0.953125,0,273.9907617
-8.1875,-0.953125,0,273.9877644
-8.171875,-0.953125,0,273.9996183
-8.15625,-0.953125,0,273.9996183
-8.140625,-0.953125,0,274.010419
-8.125,-0.953125,0,274.011547
-8.109375,-0.953125,0,274.0161121
-8.09375,-0.953125,0,274.014607
-8.078125,-0.953125,0,274.027703
-8.0625,-0.953125,0,274.0332996
-8.046875,-0.953125,0,274.0299443
-8.03125,-0.953125,0,274.0349226
-8.015625,-0.953125,0,274.0349226
-8,-0.953125,0,274.0473315
-7.984375,-0.953125,0,274.0478559
-7.96875,-0.953125,0,274.050702
-7.953125,-0.953125,0,274.050702
-7.9375,-0.953125,0,274.0608367
-7.921875,-0.953125,0,274.0551513
-7.90625,-0.953125,0,274.0634573
-7.890625,-0.953125,0,274.0636995
-7.875,-0.953125,0,274.0715728
-7.859375,-0.953125,0,274.0663718
-7.84375,-0.953125,0,274.070982
-7.828125,-0.953125,0,274.0810699
-7.8125,-0.953125,0,274.0785437
-7.796875,-0.953125,0,274.0830642
-7.78125,-0.953125,0,274.0830642
-7.765625,-0.953125,0,274.0846417
-7.75,-0.953125,0,274.091234
-7.734375,-0.953125,0,274.0872859
-7.71875,-0.953125,0,274.0928491
-7.703125,-0.953125,0,274.0928491
-7.6875,-0.953125,0,274.09881
-7.671875,-0.953125,0,274.09881
-8.5,-0.9375,0,273.9216924
-8.484375,-0.9375,0,273.9216924
-8.46875,-0.9375,0,273.9250742
-8.453125,-0.9375,0,273.9250742
-8.4375,-0.9375,0,273.9390086
-8.421875,-0.9375,0,273.9346538
-8.40625,-0.9375,0,273.9375577
-8.390625,-0.9375,0,273.9469213
-8.375,-0.9375,0,273.9469213
-8.359375,-0.9375,0,273.9575911
-8.34375,-0.9375,0,273.9575911
-8.328125,-0.9375,0,273.9661825
-8.3125,-0.9375,0,273.9702779
-8.296875,-0.9375,0,273.9702779
-8.28125,-0.9375,0,273.9798513
-8.265625,-0.9375,0,273.9825172
-8.25,-0.9375,0,273.9825172
-8.234375,-0.9375,0,273.988364
-8.21875,-0.9375,0,273.9966979
-8.203125,-0.9375,0,273.9987381
-8.1875,-0.9375,0,274.0035409
-8.171875,-0.9375,0,274.0035409
-8.15625,-0.9375,0,274.0129869
-8.140625,-0.9375,0,274.0153974
-8.125,-0.9375,0,274.0153974
-8.109375,-0.9375,0,274.0216505
-8.09375,-0.9375,0,274.0280847
-8.078125,-0.9375,0,274.027703
-8.0625,-0.9375,0,274.0323974
-8.046875,-0.9375,0,274.0332996
-8.03125,-0.9375,0,274.0431705
-8.015625,-0.9375,0,274.0457037
-8,-0.9375,0,274.0473315
-7.984375,-0.9375,0,274.0478559
-7.96875,-0.9375,0,274.0566772
-7.953125,-0.9375,0,274.0575394
-7.9375,-0.9375,0,274.0608367
-7.921875,-0.9375,0,274.0618042
-7.90625,-0.9375,0,274.0706387
-7.890625,-0.9375,0,274.0710314
-7.875,-0.9375,0,274.0710314
-7.859375,-0.9375,0,274.0785405
-7.84375,-0.9375,0,274.0785405
-7.828125,-0.9375,0,274.0862037
-7.8125,-0.9375,0,274.0862037
-7.796875,-0.9375,0,274.0886293
-7.78125,-0.9375,0,274.0886293
-7.765625,-0.9375,0,274.091234
-7.75,-0.9375,0,274.0958612
-7.734375,-0.9375,0,274.0950666
-7.71875,-0.9375,0,274.1008144
-7.703125,-0.9375,0,274.1023706
-7.6875,-0.9375,0,274.1023706
-8.5,-0.921875,0,273.9258152
-8.484375,-0.921875,0,273.9258152
-8.46875,-0.921875,0,273.9250742
-8.453125,-0.921875,0,273.9356528
-8.4375,-0.921875,0,273.9356528
-8.421875,-0.921875,0,273.9390086
-8.40625,-0.921875,0,273.9503963
-8.390625,-0.921875,0,273.9528274
-8.375,-0.921875,0,273.9528274
-8.359375,-0.921875,0,273.9604932
-8.34375,-0.921875,0,273.9604932
-8.328125,-0.921875,0,273.971306
-8.3125,-0.921875,0,273.9661825
-8.296875,-0.921875,0,273.9798513
-8.28125,-0.921875,0,273.9798513
-8.265625,-0.921875,0,273.985606
-8.25,-0.921875,0,273.985606
-8.234375,-0.921875,0,273.9996092
-8.21875,-0.921875,0,273.9996092
-8.203125,-0.921875,0,273.9966979
-8.1875,-0.921875,0,274.0095746
-8.171875,-0.921875,0,274.0095746
-8.15625,-0.921875,0,274.01592
-8.140625,-0.921875,0,274.0129869
-8.125,-0.921875,0,274.0224143
-8.109375,-0.921875,0,274.0269339
-8.09375,-0.921875,0,274.0348702
-8.078125,-0.921875,0,274.0323974
-8.0625,-0.921875,0,274.0414652
-8.046875,-0.921875,0,274.0467281
-8.03125,-0.921875,0,274.0467281
-8.015625,-0.921875,0,274.0457037
-8,-0.921875,0,274.055022
-7.984375,-0.921875,0,274.0638614
-7.96875,-0.921875,0,274.0566772
-7.953125,-0.921875,0,274.0666839
-7.9375,-0.921875,0,274.0675539
-7.921875,-0.921875,0,274.0770002
-7.90625,-0.921875,0,274.0699023
-7.890625,-0.921875,0,274.0785804
-7.875,-0.921875,0,274.0855656
-7.859375,-0.921875,0,274.0834304
-7.84375,-0.921875,0,274.0882457
-7.828125,-0.921875,0,274.0882457
-7.8125,-0.921875,0,274.09639
-7.796875,-0.921875,0,274.09639
-7.78125,-0.921875,0,274.102636
-7.765625,-0.921875,0,274.1074029
-7.75,-0.921875,0,274.1047509
-7.734375,-0.921875,0,274.1064376
-7.71875,-0.921875,0,274.1117833
-7.703125,-0.921875,0,274.112259
-8.5,-0.90625,0,273.9222509
-8.484375,-0.90625,0,273.9258152
-8.46875,-0.90625,0,273.9364246
-8.453125,-0.90625,0,273.9399869
-8.4375,-0.90625,0,273.9399869
-8.421875,-0.90625,0,273.9508387
-8.40625,-0.90625,0,273.9547399
-8.390625,-0.90625,0,273.9503963
-8.375,-0.90625,0,273.9604932
-8.359375,-0.90625,0,273.966295
-8.34375,-0.90625,0,273.966295
-8.328125,-0.90625,0,273.971306
-8.3125,-0.90625,0,273.9789906
-8.296875,-0.90625,0,273.9836277
-8.28125,-0.90625,0,273.9836277
-8.265625,-0.90625,0,273.9933971
-8.25,-0.90625,0,273.9978942
-8.234375,-0.90625,0,273.9943755
-8.21875,-0.90625,0,274.0062687
-8.203125,-0.90625,0,274.0062687
-8.1875,-0.90625,0,274.0111328
-8.171875,-0.90625,0,274.0239869
-8.15625,-0.90625,0,274.021169
-8.140625,-0.90625,0,274.0276557
-8.125,-0.90625,0,274.0276557
-8.109375,-0.90625,0,274.0337406
-8.09375,-0.90625,0,274.0348702
-8.078125,-0.90625,0,274.0424073
-8.0625,-0.90625,0,274.0450938
-8.046875,-0.90625,0,274.0450938
-8.03125,-0.90625,0,274.0545064
-8.015625,-0.90625,0,274.0592422
-8,-0.90625,0,274.0592422
-7.984375,-0.90625,0,274.0638614
-7.96875,-0.90625,0,274.064334
-7.953125,-0.90625,0,274.0740121
-7.9375,-0.90625,0,274.0809648
-7.921875,-0.90625,0,274.0761981
-7.90625,-0.90625,0,274.0853993
-7.890625,-0.90625,0,274.0861781
-7.875,-0.90625,0,274.0905578
-7.859375,-0.90625,0,274.0905578
-7.84375,-0.90625,0,274.0954409
-7.828125,-0.90625,0,274.0984714
-7.8125,-0.90625,0,274.0984714
-7.796875,-0.90625,0,274.1029801
-7.78125,-0.90625,0,274.102636
-7.765625,-0.90625,0,274.1074029
-7.75,-0.90625,0,274.1089362
-7.734375,-0.90625,0,274.11895
-7.71875,-0.90625,0,274.1117833
-7.703125,-0.90625,0,274.1218033
-8.5,-0.890625,0,273.9262959
-8.484375,-0.890625,0,273.9369477
-8.46875,-0.890625,0,273.940682
-8.453125,-0.890625,0,273.9364246
-8.4375,-0.890625,0,273.9508387
-8.421875,-0.890625,0,273.9508387
-8.40625,-0.890625,0,273.9547399
-8.390625,-0.890625,0,273.9547399
-8.375,-0.890625,0,273.9658318
-8.359375,-0.890625,0,273.9696516
-8.34375,-0.890625,0,273.9696516
-8.328125,-0.890625,0,273.9839475
-8.3125,-0.890625,0,273.9789906
-8.296875,-0.890625,0,273.9789906
-8.28125,-0.890625,0,273.9933971
